feature_id;axis;nominal;lie_customer;lse_customer;lie_internal;lse_internal;feature_description;on_accuracy
PART02_05R_Z;Pos Z;912.5;-4;4;-6;6;Cab # 2 RH - Pos Z;TRUE
PART02_05L_X;Pos X;1527.1;-4;4;-8;8;Cab # 2 LH - Pos X;TRUE
PART02_05L_Y;Pos Y;-620.4;-4;4;-8;8;Cab # 2 LH - Pos Y;TRUE
PART02_05L_Z;Pos Z;912.5;-4;4;-6;6;Cab # 2 LH - Pos Z;TRUE
PART04_05R_X;Pos X;915.5;-4;4;-5;5;Front Hole RH - Pos X;TRUE
PART04_05R_Y;Pos Y;496.9;-4;4;-5;5;Front Hole RH - Pos Y;TRUE
PART04_05R_Z;Pos Z;1289.8;-3;3;-3.75;3.75;Front Hole RH - Pos Z;TRUE
PART04_06R_X;Pos X;990.5;-4;4;-8;8;Rear Hole RH - Pos X;TRUE
PART04_06R_Y;Pos Y;496.9;-4;4;-8;8;Rear Hole RH - Pos Y;TRUE
PART04_06R_Z;Pos Z;1289.8;-3;3;-6;6;Rear Hole RH - Pos Z;TRUE
PART04_07R_X;Pos X;990.5;-4;4;-8;8;Inboard Hole RH - Pos X;TRUE
PART04_07R_Y;Pos Y;422.6;-4;4;-8;8;Inboard Hole RH - Pos Y;TRUE
PART04_07R_Z;Pos Z;1279.4;-3;3;-6;6;Inboard Hole RH - Pos Z;TRUE
PART04_05L_X;Pos X;915.5;-4;4;-5;5;Front Hole LH - Pos X;TRUE
PART04_05L_Y;Pos Y;-496.9;-4;4;-5;5;Front Hole LH - Pos Y;TRUE
PART04_05L_Z;Pos Z;1289.8;-3;3;-3.75;3.75;Front Hole LH - Pos Z;TRUE
PART04_06L_X;Pos X;990.5;-4;4;-8;8;Rear Hole LH - Pos X;TRUE
PART04_06L_Y;Pos Y;-496.9;-4;4;-8;8;Rear Hole LH - Pos Y;TRUE
PART04_06L_Z;Pos Z;1289.8;-3;3;-6;6;Rear Hole LH - Pos Z;TRUE
PART04_07L_X;Pos X;990.5;-4;4;-8;8;Inboard Hole LH - Pos X;TRUE
PART04_07L_Y;Pos Y;-422.6;-4;4;-8;8;Inboard Hole LH - Pos Y;TRUE
PART04_07L_Z;Pos Z;1279.4;-3;3;-6;6;Inboard Hole LH - Pos Z;TRUE
PART06_13R_X;Pos X;829.5;-3;3;-6;6;Front Hole RH - Pos X;TRUE
PART06_13R_Y;Pos Y;294.4;-3;3;-6;6;Front Hole RH - Pos Y;TRUE
PART06_13R_Z;Pos Z;1121.2;-3;3;-6;6;Front Hole RH - Pos Z;TRUE
PART06_14R_X;Pos X;967.1;-3;3;-6;6;Rear Hole RH - Pos X;TRUE
PART06_14R_Y;Pos Y;294.4;-3;3;-6;6;Rear Hole RH - Pos Y;TRUE
PART06_14R_Z;Pos Z;1110.4;-3;3;-6;6;Rear Hole RH - Pos Z;TRUE
PART06_13L_X;Pos X;829.5;-3;3;-6;6;Front Hole LH - Pos X;TRUE
PART06_13L_Y;Pos Y;-274.4;-3;3;-6;6;Front Hole LH - Pos Y;TRUE
PART06_13L_Z;Pos Z;1121.2;-3;3;-6;6;Front Hole LH - Pos Z;TRUE
PART06_14L_X;Pos X;967.1;-3;3;-6;6;Rear Hole LH - Pos X;TRUE
PART06_14L_Y;Pos Y;-274.4;-3;3;-6;6;Rear Hole LH - Pos Y;TRUE
PART06_14L_Z;Pos Z;1110.4;-3;3;-6;6;Rear Hole LH - Pos Z;TRUE
PART07_15R_X;Pos X;725.7;-3;3;-6;6;LCA Front RH - Slot Front - Pos X;FALSE
PART07_15R_Y;Pos Y;340.2;-3;3;-6;6;LCA Front RH - Slot Front - Pos Y;FALSE
PART07_15R_Z;Pos Z;777.8;-3;3;-6;6;LCA Front RH - Slot Front - Pos Z;FALSE
PART07_16R_X;Pos X;813.6;-3;3;-6;6;LCA Front RH - Slot Rear - Pos X;FALSE
PART07_16R_Y;Pos Y;340;-3;3;-6;6;LCA Front RH - Slot Rear - Pos Y;FALSE
PART07_16R_Z;Pos Z;780.3;-3;3;-6;6;LCA Front RH - Slot Rear - Pos Z;FALSE
PART07_17R_X;Pos X;1143.6;-3;3;-6;6;LCA Rear RH - Slot Front - Pos X;FALSE
PART07_17R_Y;Pos Y;340;-3;3;-6;6;LCA Rear RH - Slot Front - Pos Y;FALSE
PART07_17R_Z;Pos Z;790.4;-3;3;-6;6;LCA Rear RH - Slot Front - Pos Z;FALSE
PART07_18R_X;Pos X;1249.2;-3;3;-6;6;LCA Rear RH - Slot Rear - Pos X;FALSE
PART07_18R_Y;Pos Y;339.9;-3;3;-6;6;LCA Rear RH - Slot Rear - Pos Y;FALSE
PART07_18R_Z;Pos Z;793.8;-3;3;-6;6;LCA Rear RH - Slot Rear - Pos Z;FALSE
PART07_19L_X;Pos X;725.7;-3;3;-6;6;LCA Front LH - Slot Front - Pos X;FALSE
PART07_19L_Y;Pos Y;-340.2;-3;3;-6;6;LCA Front LH - Slot Front - Pos Y;FALSE
PART07_19L_Z;Pos Z;777.7;-3;3;-6;6;LCA Front LH - Slot Front - Pos Z;FALSE
PART07_20L_X;Pos X;813.6;-3;3;-6;6;LCA Front LH - Slot Rear - Pos X;FALSE
PART07_20L_Y;Pos Y;-340;-3;3;-6;6;LCA Front LH - Slot Rear - Pos Y;FALSE
PART07_20L_Z;Pos Z;780.3;-3;3;-6;6;LCA Front LH - Slot Rear - Pos Z;FALSE
PART07_21L_X;Pos X;1143.6;-3;3;-6;6;LCA Rear LH - Slot Front - Pos X;FALSE
PART07_21L_Y;Pos Y;-340;-3;3;-6;6;LCA Rear LH - Slot Front - Pos Y;FALSE
PART07_21L_Z;Pos Z;790.4;-3;3;-6;6;LCA Rear LH - Slot Front - Pos Z;FALSE
PART07_22L_X;Pos X;1249.2;-3;3;-6;6;LCA Rear LH - Slot Rear - Pos X;FALSE
PART07_22L_Y;Pos Y;-339.9;-3;3;-6;6;LCA Rear LH - Slot Rear - Pos Y;FALSE
PART07_22L_Z;Pos Z;793.6;-3;3;-6;6;LCA Rear LH - Slot Rear - Pos Z;FALSE
PART07_23R_X;Pos X;770.1;-3;3;-6;6;LCA Front RH - Pt-Sim - Pos X;FALSE
PART07_23R_Y;Pos Y;340.3;-3;3;-6;6;LCA Front RH - Pt-Sim - Pos Y;FALSE
PART07_23R_Z;Pos Z;778.9;-3;3;-6;6;LCA Front RH - Pt-Sim - Pos Z;FALSE
PART07_24L_X;Pos X;770.1;-3;3;-6;6;LCA Front LH - Pt-Sim - Pos X;FALSE
PART07_24L_Y;Pos Y;-340.3;-3;3;-6;6;LCA Front LH - Pt-Sim - Pos Y;FALSE
PART07_24L_Z;Pos Z;778.9;-3;3;-6;6;LCA Front LH - Pt-Sim - Pos Z;FALSE
PART07_25R_X;Pos X;1196.4;-3;3;-6;6;LCA Rear RH - Pt-Sim - Pos X;FALSE
PART07_25R_Y;Pos Y;340.4;-3;3;-6;6;LCA Rear RH - Pt-Sim - Pos Y;FALSE
PART07_25R_Z;Pos Z;791.8;-3;3;-6;6;LCA Rear RH - Pt-Sim - Pos Z;FALSE
PART07_26L_X;Pos X;1196.4;-3;3;-6;6;LCA Rear LH - Pt-Sim - Pos X;FALSE
PART07_26L_Y;Pos Y;-340.4;-3;3;-6;6;LCA Rear LH - Pt-Sim - Pos Y;FALSE
PART07_26L_Z;Pos Z;791.8;-3;3;-6;6;LCA Rear LH - Pt-Sim - Pos Z;FALSE
PART07_P12_X;Dist X;76.1;-1;1;-1;1;LCA Front RH - Pocket;TRUE
PART07_P12_Y;Dist Y;0.2;-1.5;1.5;-2;2;LCA Front RH - Rel Slots Front vs Rear - Pos Y;FALSE
PART07_P12_Z;Dist Z;2.2;-1.5;1.5;-1.5;1.5;LCA Front RH - Rel Slots Front vs Rear - Pos Z;FALSE
PART07_P13_X;Dist X;76.1;-1;1;-1;1;LCA Front LH - Pocket;TRUE
PART07_P13_Y;Dist Y;0.2;-1.5;1.5;-2;2;LCA Front LH - Rel Slots Front vs Rear - Pos Y;FALSE
PART07_P13_Z;Dist Z;2.3;-1.5;1.5;-1.5;1.5;LCA Front LH - Rel Slots Front vs Rear - Pos Z;FALSE
PART07_P14_X;Dist X;94.2;-3;3;-2;2;LCA Rear RH - Pocket;TRUE
PART07_P14_Y;Dist Y;0.1;-3;3;-2;2;LCA Rear RH - Rel Slots Front vs Rear - Pos Y;TRUE
PART07_P14_Z;Dist Z;3;-3;3;-6;6;LCA Rear RH - Rel Slots Front vs Rear - Pos Z;TRUE
PART07_P15_X;Dist X;94.2;-3;3;-6;6;LCA Rear LH - Pocket;TRUE
PART07_P15_Y;Dist Y;0.1;-3;3;-6;6;LCA Rear LH - Rel Slots Front vs Rear - Pos Y;TRUE
PART07_P15_Z;Dist Z;2.9;-3;3;-6;6;LCA Rear LH - Rel Slots Front vs Rear - Pos Z;TRUE
PART07_P16_X;Dist X;426.5;-3;3;-6;6;Span RH;TRUE
PART07_P17_X;Dist X;426.5;-3;3;-6;6;Span LH;TRUE
PART07_P18_X;Dist X;220.4;-3;3;-6;6;LCA Front Pt-Sim RH vs FSA RH Inboard Rear Hole - Pos X;TRUE
PART07_P19_X;Dist X;220.4;-3;3;-6;6;LCA Front Pt-Sim LH vs FSA LH Inboard Rear Hole - Pos X;TRUE
PART07_27R_X;Pos X;725.8;-3;3;-6;6;Hole Buje Upper Front RH - Pos X;TRUE
PART07_27R_Y;Pos Y;248;-3;3;-6;6;Hole Buje Upper Front RH - Pos Y;TRUE
PART07_27R_Z;Pos Z;958.8;-3;3;-6;6;Hole Buje Upper Front RH - Pos Z;TRUE
PART07_28R_X;Pos X;804;-3;3;-6;6;Hole Buje Upper Rear RH - Pos X;TRUE
PART07_28R_Y;Pos Y;248;-1;1;-1;1;Hole Buje Upper Rear RH - Pos Y;TRUE
PART07_28R_Z;Pos Z;958.8;-1.5;1.5;-1.5;1.5;Hole Buje Upper Rear RH - Pos Z;FALSE
PART07_29R_X;Pos X;654.8;-1.5;1.5;-1.5;1.5;Hole Buje Lower Front RH - Pos X;FALSE
PART07_29R_Y;Pos Y;257.5;-1;1;-1;1;Hole Buje Lower Front RH - Pos Y;TRUE
PART07_29R_Z;Pos Z;825.3;-1.5;1.5;-1.5;1.5;Hole Buje Lower Front RH - Pos Z;FALSE
PART07_30R_X;Pos X;804;-1.5;1.5;-1.9;1.9;Hole Buje Lower Rear RH - Pos X;FALSE
PART07_30R_Y;Pos Y;257.5;-3;3;-6;6;Hole Buje Lower Rear RH - Pos Y;TRUE
PART07_30R_Z;Pos Z;825.3;-3;3;-6;6;Hole Buje Lower Rear RH - Pos Z;TRUE
PART07_31L_X;Pos X;654.8;-1.5;1.5;-1.5;1.5;Hole Buje Lower Front LH - Pos X;FALSE
PART07_31L_Y;Pos Y;-257.5;-1;1;-1;1;Hole Buje Lower Front LH - Pos Y;TRUE
PART07_31L_Z;Pos Z;825.3;-1.5;1.5;-1.5;1.5;Hole Buje Lower Front LH - Pos Z;FALSE
PART07_32L_X;Pos X;804;-1.5;1.5;-1.9;1.9;Hole Buje Lower Rear LH - Pos X;FALSE
PART07_32L_Y;Pos Y;-257.5;-3;3;-6;6;Hole Buje Lower Rear LH - Pos Y;TRUE
PART07_32L_Z;Pos Z;825.3;-3;3;-6;6;Hole Buje Lower Rear LH - Pos Z;TRUE
PARTA4_04R_X;Pos X;701.8;-3;3;-3.8;3.8;Diff Mount - CM#1 - Buje RH Botom hole - Pos X;FALSE
PARTA4_04R_Y;Pos Y;210;-3;3;-3.8;3.8;Diff Mount - CM#1 - Buje RH Botom hole - Pos Y;FALSE
PARTA4_04R_Z;Pos Z;772.7;-3;3;-3.8;3.8;Diff Mount - CM#1 - Buje RH Botom hole - Pos Z;FALSE
PARTA4_05R_X;Pos X;701.8;-3;3;-3.8;3.8;CM#1 - Buje RH Top hole - Pos X;FALSE
PARTA4_05R_Y;Pos Y;210;-3;3;-3.8;3.8;CM#1 - Buje RH Top hole - Pos Y;FALSE
PARTA4_05R_Z;Pos Z;854.4;-3;3;-3.8;3.8;CM#1 - Buje RH Top hole - Pos Z;FALSE
PARTA4_06L_X;Pos X;701.8;-3;3;-3.8;3.8;CM#1 - Buje LH Botom hole - Pos X;TRUE
PARTA4_06L_Y;Pos Y;-210;-3;3;-3.8;3.8;CM#1 - Buje LH Botom hole - Pos Y;TRUE
PARTA4_06L_Z;Pos Z;772.7;-3;3;-3.8;3.8;CM#1 - Buje LH Botom hole - Pos Z;TRUE
PARTA4_07L_X;Pos X;701.8;-2;2;-4;4;CM#1 - Buje LH Top hole - Pos X;TRUE
PARTA4_07L_Y;Pos Y;-210;-2;2;-4;4;CM#1 - Buje LH Top hole - Pos Y;TRUE
PARTA4_07L_Z;Pos Z;854.4;-2;2;-4;4;CM#1 - Buje LH Top hole - Pos Z;TRUE
PARTA4_08_X;Pos X;1222.9;-2;2;-4;4;CM#2 - Top hole - Pos X;TRUE
PARTA4_08_Y;Pos Y;-142;-2;2;-4;4;CM#2 - Top hole - Pos Y;TRUE
PARTA4_08_Z;Pos Z;789;-2;2;-4;4;CM#2 - Top hole - Pos Z;TRUE
PARTA5_02R_X;Pos X;1103.2;-3;3;-6;6;Nut RH - Pos X;TRUE
PARTA5_02R_Y;Pos Y;479.5;-3;3;-6;6;Nut RH - Pos Y;TRUE
PARTA5_02R_Z;Pos Z;868.7;-3;3;-6;6;Nut RH - Pos Z;TRUE
PARTA5_02L_X;Pos X;1103.2;-3;3;-6;6;Nut LH - Pos X;TRUE
PARTA5_02L_Y;Pos Y;-479.5;-3;3;-6;6;Nut LH - Pos Y;TRUE
PARTA5_02L_Z;Pos Z;868.7;-3;3;-6;6;Nut LH - Pos Z;TRUE
PARTCM1X_01R_X;Pos X;667;-3;3;-6;6;CM#1 Datum RH - Pos X;FALSE
PARTCM1X_01R_Y;Pos Y;80;-3;3;-6;6;CM#1 Datum RH - Pos Y;FALSE
PARTCM1X_01R_Z;Pos Z;772.7;-3;3;-6;6;CM#1 Datum RH - Pos Z;FALSE
PARTCM1X_01L_X;Pos X;667;-3;3;-6;6;CM#1 Datum LH - Pos X;FALSE
PARTCM1X_01L_Y;Pos Y;-152;-3;3;-6;6;CM#1 Datum LH - Pos Y;FALSE
PARTCM1X_01L_Z;Pos Z;772.7;-3;3;-6;6;CM#1 Datum LH - Pos Z;FALSE
PARTCM2X_01R_X;Pos X;1240;-3;3;-6;6;CM#2 Datum RH - Pos X;FALSE
PARTCM2X_01R_Y;Pos Y;145;-3;3;-6;6;CM#2 Datum RH - Pos Y;FALSE
PARTCM2X_01R_Z;Pos Z;738.4;-3;3;-6;6;CM#2 Datum RH - Pos Z;FALSE
PARTCM2X_01L_X;Pos X;1240;-3;3;-6;6;CM#2 Datum LH - Pos X;FALSE
PARTCM2X_01L_Y;Pos Y;-80;-3;3;-6;6;CM#2 Datum LH - Pos Y;FALSE
PARTCM2X_01L_Z;Pos Z;738.4;-3;3;-6;6;CM#2 Datum LH - Pos Z;FALSE
