feature_id;axis;nominal;lie_customer;lse_customer;lie_internal;lse_internal;feature_description;on_accuracy
PARTA2_P6_X;Dist X;168.3;-3;3;-6;6;Tueca bracket CM1 LH vs Tuerca mas LH CM AUX - Dist X;TRUE
PARTA2_P6_Z;Dist Z;80.1;-3;3;-6;6;Tueca bracket CM1 LH vs Tuerca mas LH CM AUX - Dist Z;TRUE
PARTA4_P3_X;Dist X;521.1;-3;3;-6;6;Top hole CM#2 vs Top Hole buje RH CM#1 - Dist X;TRUE
PARTA4_P3_Y;Dist Y;352;-3;3;-6;6;Top hole CM#2 vs Top Hole buje RH CM#1 - Dist Y;TRUE
PARTA4_P4_X;Dist X;521.1;-3;3;-6;6;Top hole CM#2 vs Top Hole buje LH CM#1 - Dist X;TRUE
PARTA4_P4_Y;Dist Y;68;-3;3;-6;6;Top hole CM#2 vs Top Hole buje LH CM#1 - Dist Y;TRUE
PARTA4_P5_Z;Dist Z;16.3;-3;3;-6;6;Top hole CM#2 vs Bottom Hole buje RH CM#1 - Dist Z;TRUE
PARTA4_P6_Z;Dist Z;16.3;-3;3;-6;6;Top hole CM#2 vs Bottom Hole buje LH CM#1 - Dist Z;TRUE
PARTA6_P7_X;Dist X;821.6;-4;4;-8;8;CM#3 Hole Front RH vs Front Engine Mount Hole Rear RH - Dist X;FALSE
PARTA6_P8_X;Dist X;821.6;-4;4;-8;8;CM#3 Hole Front RH vs Front Engine Mount Hole Rear LH - Dist X;FALSE
PART02_P27_Z;Dist Z;158.1;-3;3;-6;6;Cab # 2 RH vs Cab # 3 RH - Dist Z;TRUE
PART02_P28_Z;Dist Z;158.1;-3;3;-6;6;Cab # 2 LH vs Cab # 3 LH - Dist Z;TRUE
PARTFT_02L_X;Pos X;3115;-3;3;-6;6;Fuel Tank Datum LH - Pos X;FALSE
PARTFT_02L_Y;Pos Y;-399.2;-3;3;-6;6;Fuel Tank Datum LH - Pos Y;False
PARTFT_02L_Z;Pos Z;1001.2;-3;3;-6;6;Fuel Tank Datum LH - Pos Z;False
PARTA2_08R_X;Pos X;588.3;-4;4;-8;8;Tueca bracket CM1 RH - Pos X;FALSE
PARTA2_08R_Y;Pos Y;223.5;-3;3;-8;8;Tueca bracket CM1 RH - Pos Y;FALSE
PARTA2_08R_Z;Pos Z;792.2;-3;3;-8;8;Tueca bracket CM1 RH - Pos Z;FALSE
PARTA2_09R_X;Pos X;588.3;-4;4;-8;8;Outer Hole bracket CM1 RH - Pos X;FALSE
PARTA2_09R_Y;Pos Y;171.5;-3;3;-8;8;Outer Hole bracket CM1 RH - Pos Y;FALSE
PARTA2_09R_Z;Pos Z;792.2;-3;3;-8;8;Outer Hole bracket CM1 RH - Pos Z;FALSE
PARTA2_08L_X;Pos X;588.3;-4;4;-8;8;Tueca bracket CM1 LH - Pos X;FALSE
PARTA2_08L_Y;Pos Y;-223.5;-3;3;-8;8;Tueca bracket CM1 LH - Pos Y;FALSE
PARTA2_08L_Z;Pos Z;792.2;-3;3;-8;8;Tueca bracket CM1 LH - Pos Z;FALSE
PARTA2_09L_X;Pos X;588.3;-4;4;-8;8;Outer Hole bracket CM1 LH - Pos X;FALSE
PARTA2_09L_Y;Pos Y;-171.5;-3;3;-8;8;Outer Hole bracket CM1 LH - Pos Y;FALSE
PARTA2_09L_Z;Pos Z;792.2;-3;3;-8;8;Outer Hole bracket CM1 LH - Pos Z;FALSE
PART02_P29_Z;Dist Z;0;-4;4;-8;8;B+C (P23_Z + P13_Z);True
PART02_P30_Z;Dist Z;58.9;-3;3;-6;6;Cab # 2 RH vs Cab # 3 RH - H-Pitch;True
PART02_P31_Z;Dist Z;58.9;-3;3;-6;6;Cab # 2 LH vs Cab # 3 LH - H-Pitch;True
